user_id,total_listens,daily_listen_rate,night_listen_ratio,artist_diversity,tenure_days,churn_risk_percent
19338,2729,97.46,0.1942,0.3287,28,0.76
28334,4803,171.54,0.2742,0.4964,28,0.8
38672,4597,158.52,0.0692,0.223,29,0.8
48063,104,3.85,0.6154,0.5096,27,0.87
91959,113961,30.9,0.1896,0.0823,3688,1.74
81093,963,34.39,0.6251,0.1661,28,0.76
85946,3498,124.93,0.2644,0.1281,28,0.8
14899,2777,99.18,0.5632,0.2618,28,0.76
23318,340,11.72,0.6059,0.3471,29,0.76
88140,9128,20.51,0.263,0.1008,445,1.4
16576,264,9.78,0.7311,0.3598,27,0.76
25969,562,20.07,0.1281,0.2598,28,0.76
35670,1075,38.39,0.3888,0.213,28,0.76
85405,799,30.73,0.602,0.6433,26,0.76
18947,704,22.0,0.5327,0.2472,32,0.76
45157,286,10.59,0.3986,0.5,27,0.76
59467,287,11.48,0.4181,0.7596,25,0.76
40874,1262,45.07,0.0293,0.2068,28,0.76
65897,309,12.36,0.2589,0.1748,25,0.76
83101,803,28.68,0.2067,0.5629,28,0.76
56831,1238,41.27,0.1082,0.5541,30,0.76
87117,717,25.61,0.3445,0.537,28,0.76
36067,478,17.07,0.5105,0.2887,28,0.76
42686,267,10.68,0.1423,0.1161,25,0.76
92332,59673,9.62,0.0865,0.0368,6205,1.74
40740,1206,43.07,0.1551,0.5033,28,0.76
14204,983,33.9,0.292,0.3215,29,0.76
27248,789,28.18,0.0925,0.3726,28,0.76
61304,784,29.04,0.0051,0.5459,27,0.76
70721,461,17.73,0.1497,0.2473,26,0.76
46534,691,24.68,0.2764,0.1766,28,0.76
9993,397,14.18,0.2191,0.4232,28,0.76
18556,943,34.93,0.07,0.0615,27,0.76
829,412,14.71,0.3811,0.5243,28,0.76
35444,931,34.48,0.3609,0.6412,27,0.76
29573,1969,70.32,0.0686,0.0645,28,0.76
55371,382,13.17,0.5812,0.2696,29,0.76
41785,3394,106.06,0.3945,0.1282,32,0.8
44032,371,19.53,0.1887,0.5714,19,0.76
25555,1518,54.21,0.0033,0.2642,28,0.76
38271,307,10.96,0.0261,0.5309,28,0.76
33174,379,13.54,0.2955,0.3193,28,0.76
38986,981,33.83,0.0846,0.157,29,0.76
17686,60484,7.9,0.4037,0.112,7659,1.74
45141,85,5.0,0.2,0.2353,17,0.87
46683,304,10.86,0.4013,0.6086,28,0.76
82208,64,12.8,0.3125,0.5,5,32.04
75602,345,13.27,0.5565,0.4087,26,0.76
76056,8470,292.07,0.3135,0.0393,29,0.8
675,623,23.96,0.0385,0.7079,26,0.76
19132,119,4.25,0.1933,0.563,28,0.76
59843,841,30.04,0.2628,0.3662,28,0.76
47092,1080,40.0,0.188,0.3102,27,0.76
37311,1767,63.11,0.0,0.1834,28,0.72
39350,909,32.46,0.0836,0.385,28,0.76
38685,1143,39.41,0.4593,0.1251,29,0.76
80258,355,13.15,0.3465,0.738,27,0.76
81206,1037,37.04,0.5034,0.2179,28,0.76
57085,1629,56.17,0.4751,0.3542,29,0.76
55089,129,5.38,0.093,0.7984,24,0.76
59891,553,19.07,0.4828,0.1139,29,0.76
52991,47,1.74,0.5106,0.2979,27,1.44
81824,305,10.89,0.2787,0.2656,28,0.76
45300,472,16.86,0.0487,0.3792,28,0.76
60897,150,7.14,0.0067,0.0733,21,0.76
66119,1376,49.14,0.1417,0.1672,28,0.76
27317,523,18.68,0.7285,0.2237,28,0.76
20428,171,6.11,0.5088,0.386,28,0.76
88277,281,11.71,0.2918,0.2491,24,0.76
69460,329,11.75,0.5106,0.4255,28,0.76
90533,2657,5.32,0.0866,0.3086,499,1.36
90022,1496,16.44,0.0495,0.1156,91,1.36
39641,105083,50.47,0.4477,0.0928,2082,1.74
90347,99,7.62,0.0,0.2323,13,28.17
90783,133,10.23,0.4962,0.3759,13,23.99
20868,299,23.0,0.3144,0.0903,13,23.62
42370,367,13.11,0.0409,0.2643,28,0.76
39917,69,3.83,0.1159,0.1304,18,0.95
39103,84,3.11,0.4762,0.1429,27,0.99
28675,80,3.48,0.675,0.4625,23,0.95
91788,2666,4.96,0.3901,0.1658,537,1.36
64038,101,3.88,0.0,0.198,26,0.83
60095,434,16.69,0.0092,0.0714,26,0.76
90878,117,9.0,0.4615,0.5812,13,24.43
93893,64831,40.95,0.4166,0.0264,1583,1.74
94102,8,8.0,0.125,1.0,1,50.28
86180,97,5.11,0.4433,0.2887,19,0.8
32773,92,3.29,0.3696,0.2609,28,0.92
46525,21,1.11,0.2857,0.4762,19,2.17
82297,1,1.0,0.0,1.0,1,54.16
74468,144,5.14,0.4653,0.2361,28,0.76
66762,7,7.0,0.7143,0.7143,1,47.82
9583,41,2.73,0.0,0.4634,15,7.23
88311,763,28.26,0.3159,0.0315,27,0.76
93924,7,7.0,1.0,1.0,1,52.93
93319,10,10.0,0.0,0.6,1,48.49
89555,44,2.59,0.5682,0.6364,17,1.62
296,36,1.8,1.0,0.2222,20,1.44
19095,52,4.0,0.0,0.0769,13,33.73
18992,1,1.0,0.0,1.0,1,54.16
31039,38,7.6,0.0,0.2105,5,38.19
79849,4,4.0,0.0,1.0,1,50.79
83450,26,26.0,0.0385,0.1538,1,46.24
13865,14,0.88,0.7143,0.2143,16,4.73
88138,2,2.0,0.0,1.0,1,53.79
88649,1,1.0,1.0,1.0,1,54.88
92072,1,1.0,0.0,1.0,1,54.16
36470,6,6.0,0.0,0.1667,1,44.61
56315,1,1.0,0.0,1.0,1,54.16
92146,1,1.0,0.0,1.0,1,54.16
35771,197,8.95,0.2386,0.5533,22,0.76
944,634,7.46,0.4274,0.1025,85,1.36
27966,1247,56.68,0.3344,0.0698,22,0.76
33840,1580,56.43,0.1968,0.1646,28,0.76
61364,2193,78.32,0.0565,0.3242,28,0.76
72314,1529,54.61,0.0249,0.1936,28,0.76
16639,7130,245.86,0.3832,0.0482,29,0.8
38576,398,14.21,0.1382,0.2437,28,0.76
76779,798,28.5,0.5777,0.317,28,0.76
56814,399,14.25,0.7093,0.3684,28,0.76
59680,739,26.39,0.521,0.2652,28,0.76
63392,186,6.64,0.1022,0.3548,28,0.76
91561,176,16.0,0.375,0.3068,11,23.31
40353,1936,69.14,0.5176,0.311,28,0.76
57655,862,29.72,0.1636,0.2877,29,0.76
77321,391,13.96,0.1151,0.3555,28,0.76
48088,1169,41.75,0.0445,0.1343,28,0.76
81083,1165,40.17,0.4506,0.0515,29,0.76
44603,205,7.59,0.1805,0.3171,27,0.76
81808,780,27.86,0.45,0.55,28,0.76
89919,848,44.63,0.2252,0.3514,19,0.76
91120,72055,21.09,0.052,0.0363,3416,1.74
56501,2114,68.19,0.4844,0.1306,31,0.76
34591,630,21.72,0.7079,0.0524,29,0.76
46444,1534,52.9,0.4752,0.2236,29,0.76
72068,627,21.62,0.3333,0.6172,29,0.76
32788,292,11.23,0.5103,0.3562,26,0.76
55443,1237,44.18,0.1334,0.2773,28,0.76
40972,286,10.21,0.4685,0.8147,28,0.76
41983,625,22.32,0.0,0.6256,28,0.72
2464,267,12.71,0.367,0.603,21,0.76
40866,630,22.5,0.0778,0.1159,28,0.76
37399,436,15.57,0.1651,0.1124,28,0.76
38318,110,6.88,0.8545,0.4818,16,6.55
59431,1077,51.29,0.5738,0.4095,21,0.76
78983,122,6.1,0.4672,0.3934,20,0.76
79320,245,8.75,0.0776,0.4327,28,0.76
79360,129,64.5,0.7829,0.4109,2,26.91
73414,230,8.52,0.3087,0.3739,27,0.76
80691,479,17.11,0.5282,0.2422,28,0.76
40524,211,10.55,0.0,0.1801,20,0.72
30811,163,5.82,0.3681,0.5337,28,0.76
58167,516,18.43,0.6744,0.6589,28,0.76
79617,1310,46.79,0.1115,0.0939,28,0.76
27563,664,24.59,0.6295,0.1355,27,0.76
47445,237,26.33,0.0169,0.4051,9,24.24
66915,861,30.75,0.0314,0.4646,28,0.76
11247,224,8.62,0.1473,0.6161,26,0.76
19289,3005,103.62,0.1864,0.0532,29,0.76
77786,770,27.5,0.4351,0.6468,28,0.76
43341,361,13.37,0.0416,0.2188,27,0.76
34565,443,15.82,0.1084,0.6885,28,0.76
60147,1134,49.3,0.2099,0.3192,23,0.76
74252,492,17.57,0.0813,0.2744,28,0.76
42679,849,30.32,0.3216,0.6996,28,0.76
53430,1121,40.04,0.0847,0.1017,28,0.76
87664,2125,75.89,0.4329,0.0927,28,0.76
27130,69,2.46,0.0145,0.5652,28,0.99
37796,57,2.38,0.193,0.2982,24,1.07
80301,695,24.82,0.0691,0.4187,28,0.76
41256,678,24.21,0.2271,0.6844,28,0.76
52571,158,6.08,0.8544,0.2152,26,0.76
38296,30,1.76,0.0,0.6333,17,1.67
66423,177,7.08,0.0056,0.7514,25,0.76
75339,50,1.72,0.84,0.78,29,3.0
24078,664,22.9,0.1898,0.1702,29,0.76
44350,834,29.79,0.1271,0.1415,28,0.76
59775,258,10.75,0.6395,0.6822,24,0.76
54729,256,9.48,0.0117,0.375,27,0.76
79504,30,3.33,0.0,0.3333,9,40.42
48114,12,1.71,0.0,0.5833,7,39.54
38926,24,0.89,0.0,0.9167,27,2.15
61442,1005,41.88,0.1184,0.1682,24,0.76
70650,197,15.15,0.203,0.4315,13,23.68
60491,901,32.18,0.4517,0.0544,28,0.76
63391,23,2.88,0.0,0.1304,8,41.49
48590,126,5.48,0.381,0.1429,23,0.76
75283,231,8.25,0.0087,0.0996,28,0.76
35438,164,10.93,0.4451,0.3232,15,6.52
90742,511,34.07,0.0744,0.2133,15,7.19
49137,388,14.37,0.1443,0.067,27,0.76
92547,15,7.5,0.0,0.2667,2,42.85
41262,1,1.0,0.0,1.0,1,54.16
38203,12,0.44,0.1667,0.1667,27,2.45
94309,507,4.57,0.3156,0.3511,111,1.36
92143,1029,0.22,0.45,0.1147,4663,7.0
91767,50,1.56,0.04,0.56,32,1.86
91326,93,3.32,0.1075,0.7634,28,0.92
47570,1661,59.32,0.2715,0.1975,28,0.76
34829,334,13.92,0.7066,0.3623,24,0.76
24528,69,2.56,0.7101,0.1884,27,0.99
23592,16,4.0,0.375,0.5,4,42.44
68341,936,34.67,0.2201,0.0299,27,0.76
34404,259,11.26,0.0,0.1042,23,0.72
33774,64,2.78,0.9063,0.0625,23,1.07
37160,43,1.72,0.8837,0.1628,25,1.44
77872,1,1.0,1.0,1.0,1,54.88
88150,95,3.65,0.0,0.1368,26,0.83
28288,9,9.0,0.0,0.1111,1,46.25
94342,5,5.0,0.0,0.8,1,49.61
49916,1,1.0,0.0,1.0,1,54.16
45756,38,5.43,0.0,0.1053,7,38.69
90237,1,1.0,0.0,1.0,1,54.16
27081,15,15.0,1.0,0.2,1,48.25
19990,11,0.85,0.5455,0.4545,13,33.55
93408,31,10.33,0.0968,0.0968,3,41.06
65631,3,3.0,0.0,1.0,1,50.02
88285,2,2.0,1.0,0.5,1,52.71
21534,13,1.08,0.3846,0.2308,12,36.69
56490,1,1.0,0.0,1.0,1,54.16
92374,81,40.5,0.3827,0.037,2,41.26
79013,95,31.67,0.0,0.0105,3,32.04
45856,2,2.0,0.5,1.0,1,53.86
92388,2,2.0,0.0,0.5,1,51.7
89427,2,2.0,0.0,0.5,1,51.7
14000,1777,61.28,0.5217,0.5239,29,0.76
21456,438,16.22,0.1324,0.1735,27,0.76
28610,362,18.1,0.6271,0.8177,20,0.76
30005,95,4.52,0.2421,0.7474,21,0.8
80585,432,15.43,0.0718,0.2083,28,0.76
84280,176,5.03,0.4773,0.483,35,1.14
17024,860,26.88,0.6477,0.4163,32,0.76
18276,5983,127.3,0.0819,0.0622,47,1.4
49192,787,28.11,0.2262,0.291,28,0.76
52967,2213,79.04,0.1369,0.197,28,0.76
15420,87,4.14,0.0115,0.1724,21,0.95
57329,316,12.64,0.0127,0.3323,25,0.76
57689,1101,39.32,0.2162,0.5704,28,0.76
76925,895,31.96,0.0883,0.1039,28,0.76
20626,3596,189.26,0.3459,0.1677,19,0.8
54164,592,21.93,0.0051,0.2416,27,0.76
73043,834,32.08,0.4245,0.3609,26,0.76
33500,168,6.22,0.119,0.4881,27,0.76
26958,2742,97.93,0.089,0.0894,28,0.76
40084,837,29.89,0.2401,0.2676,28,0.76
76358,753,26.89,0.3572,0.2802,28,0.76
93013,496163,70.61,0.1599,0.0531,7027,1.74
92736,1850,0.24,0.7427,0.293,7659,7.0
666,1213,41.83,0.2894,0.2185,29,0.76
34711,745,25.69,0.0577,0.2899,29,0.76
40856,555,19.14,0.4396,0.3045,29,0.76
71900,2142,73.86,0.2232,0.1204,29,0.76
36260,532,19.0,0.0094,0.2256,28,0.76
30155,42,1.5,0.0238,0.6905,28,1.44
38875,474,16.93,0.23,0.5802,28,0.76
39305,1013,33.77,0.1876,0.4225,30,0.76
59761,595,22.04,0.1714,0.2891,27,0.76
69086,211,7.81,0.0284,0.5213,27,0.76
73086,911,33.74,0.1262,0.0209,27,0.76
63479,657,23.46,0.3562,0.656,28,0.76
16413,776,28.74,0.2552,0.2564,27,0.76
17256,851,30.39,0.0106,0.3302,28,0.76
38129,1776,61.24,0.1751,0.1954,29,0.76
44777,1055,37.68,0.1289,0.2455,28,0.76
36021,1961,70.04,0.0301,0.6813,28,0.76
38961,834,29.79,0.0132,0.2734,28,0.76
53333,201,7.18,0.204,0.2189,28,0.76
45252,558,19.24,0.0681,0.147,29,0.76
59075,1275,45.54,0.1827,0.2565,28,0.76
86148,2023,69.76,0.3371,0.2392,29,0.76
88343,49453,15.39,0.1556,0.0485,3214,1.74
76320,1755,62.68,0.0382,0.0148,28,0.76
86620,326,12.07,0.2485,0.4509,27,0.76
86224,2127,75.96,0.1655,0.3601,28,0.76
46887,1967,67.83,0.4199,0.1164,29,0.76
33776,192,8.35,0.0,0.1458,23,0.72
66139,540,19.29,0.437,0.2944,28,0.76
8621,365,15.87,0.5425,0.7315,23,0.76
79094,212,7.85,0.1038,0.3868,27,0.76
61529,724,32.91,0.0,0.2196,22,0.72
34155,487,15.71,0.6571,0.5667,31,0.76
80602,57,2.59,0.0,0.4737,22,1.03
66878,50,2.0,0.3,0.22,25,1.44
22529,347,12.85,0.2305,0.2161,27,0.76
